44.36277	-124.96224	615
44.36364	-124.96199	615
>		
44.36364	-124.96199	615
44.36279	-124.96162	615
44.36088	-124.96068	615
44.35785	-124.95877	615
44.35665	-124.95757	615
44.35555	-124.95628	615
44.35542	-124.95602	615
44.35528	-124.95553	617
44.35528	-124.95508	618
44.35533	-124.95445	618
44.35540	-124.95403	618
44.35602	-124.95160	618
44.35800	-124.94446	592
44.35875	-124.94180	587
44.35977	-124.93814	582
44.35994	-124.93710	580
44.36003	-124.93623	579
44.36166	-124.92744	571
44.36922	-124.90616	554
44.37921	-124.88771	523
44.38582	-124.87065	506
44.40217	-124.84226	456
44.43219	-124.78823	290
44.43867	-124.77907	273
44.44575	-124.77336	270
44.45528	-124.76945	279
44.46970	-124.76571	300
44.48562	-124.75916	309
44.49850	-124.75773	337
44.51906	-124.75552	375
44.52844	-124.75112	374
44.53732	-124.74458	370
44.54518	-124.73462	359
44.54776	-124.73004	355
44.55060	-124.72344	350
44.55598	-124.70717	327
44.56340	-124.69073	310
44.58371	-124.65624	292
44.58744	-124.65010	290
44.59493	-124.64053	267
44.60340	-124.63338	244
44.60644	-124.63152	240
44.61304	-124.62884	236
44.62559	-124.62389	230
44.63975	-124.62021	230
44.67261	-124.61494	230
44.72118	-124.60850	240
44.73392	-124.60860	250
44.74271	-124.60699	258
44.75014	-124.60376	260
44.75722	-124.59891	256
44.76555	-124.58926	241
44.77217	-124.57617	214
44.77512	-124.56649	204
44.77664	-124.55659	198
44.77689	-124.54607	191
44.77465	-124.53237	182
44.77047	-124.52061	173
44.76376	-124.50974	162
44.75374	-124.49868	152
44.74466	-124.49106	147
44.69865	-124.46145	117
44.69588	-124.45968	116
44.69564	-124.45952	115
44.69548	-124.45942	115
44.69424	-124.45871	114
44.69380	-124.45846	114
44.69315	-124.45807	113
44.69280	-124.45787	113
44.69221	-124.45752	113
44.69139	-124.45702	113
